epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.3849,1.56835,3.83431,1.39133,0.7738,0.38867,0.41127,0.28888,1.14997,2.96164,1.21023,0.000471041,0.000471041,0.000471041
2,217.77,1.41002,2.76338,1.28766,0.47009,0.53491,0.38753,0.25152,1.13383,4.02467,1.33308,0.000928616,0.000928616,0.000928616
3,384.725,1.31762,2.62518,1.26135,0.59909,0.63965,0.67716,0.39743,1.3455,2.6205,1.56738,0.00136733,0.00136733,0.00136733
4,601.86,1.32918,2.57366,1.29426,0.68491,0.3901,0.41372,0.2447,1.22763,2.61539,1.54881,0.00134412,0.00134412,0.00134412
5,833.354,1.34261,2.04846,1.29257,0.56075,0.30014,0.28318,0.13875,1.42927,3.01136,1.72393,0.00131582,0.00131582,0.00131582
6,1099.78,1.29017,1.99532,1.31539,0.63275,0.29035,0.26964,0.13669,1.36692,2.53875,1.67162,0.00128753,0.00128753,0.00128753
7,1390.75,1.28233,1.88193,1.30321,0.56693,0.22327,0.18889,0.1006,1.22463,2.84664,1.46683,0.00125923,0.00125923,0.00125923
8,1730.9,1.324,2.16312,1.26546,0.76302,0.13445,0.15045,0.09681,1.25293,3.68898,1.41994,0.00123094,0.00123094,0.00123094
